,Player,Year,Tm,Age,Pos,G,GS,rating_adj_1,df_id,pro_bowl,first_all_pro
232,Leon Lett,1999.0,DAL,31,DE,8.0,1.0,92.13733758276811,DL,0,0
233,Dan Owens,1999.0,DET,32,DT,8.0,0.0,16.143293578186906,DL,0,0
234,Rick Terry,1999.0,CAR,25,DT,8.0,0.0,1.6395524783990603,DL,0,0
235,Alfred Williams,1999.0,DEN,31,RDE,7.0,6.0,116.75208850726432,DL,0,0
236,Cyron Brown,1999.0,DEN,24,DE,7.0,0.0,0.0,DL,0,0
237,Bobby Hamilton,1999.0,NYJ,28,DT,7.0,0.0,3.7315464494769808,DL,0,0
238,Matt Keneley,1999.0,SFO,26,DT,7.0,0.0,2.290168541255831,DL,0,0
239,Regan Upshaw,1999.0,2TM,24,DE,7.0,0.0,1.441377908221152,DL,0,0
240,Regan Upshaw,1999.0,TAM,24,DE,1.0,0.0,0.0,DL,0,0
241,Regan Upshaw,1999.0,JAX,24,DE,6.0,0.0,2.2421434127884545,DL,0,0
242,Robert Harris,1999.0,NYG,30,LDT,6.0,6.0,57.04628269868741,DL,0,0
243,Marc Boutte,1999.0,WAS,30,DT,6.0,0.0,34.71832636930793,DL,0,0
244,Tyoka Jackson,1999.0,TAM,28,DT,6.0,0.0,9.230073211728044,DL,0,0
245,Bill Johnson,1999.0,PHI,31,DT,6.0,0.0,67.37937084319942,DL,0,0
246,Leonard Little,1999.0,STL,25,DE,6.0,0.0,2.2421434127884545,DL,0,0
247,Michael Myers,1999.0,DAL,23,DT,6.0,0.0,5.399800037853309,DL,0,0
248,Aaron Smith,1999.0,PIT,23,DE,6.0,0.0,0.0,DL,0,0
249,Marvin Washington,1999.0,SFO,34,LDE,5.0,5.0,73.22501979308926,DL,0,0
250,Nolan Harrison,1999.0,PIT,30,DE,5.0,3.0,11.098570180762858,DL,0,0
251,Eric Curry,1999.0,JAX,29,DE,5.0,0.0,8.015589894395406,DL,0,0
252,Bill Duff,1999.0,CLE,25,DT,5.0,0.0,0.0,DL,0,0
253,Paul Grasmanis,1999.0,DEN,25,DT,5.0,0.0,15.022254965576002,DL,0,0
254,Uhuru Hamiter,1999.0,NOR,26,DE,5.0,0.0,34.95804373149337,DL,0,0
255,Cedric Harden,1999.0,SDG,25,DE,5.0,0.0,0.728689990399583,DL,0,0
256,Robert Newkirk,1999.0,NOR,22,DT,5.0,0.0,35.82134130209189,DL,0,0
257,Andre Purvis,1999.0,CIN,26,DT,5.0,0.0,0.0,DL,0,0
258,Hugh Douglas,1999.0,PHI,28,DE,4.0,2.0,46.97260003511152,DL,0,0
259,Antonio Cochran,1999.0,SEA,23,DE,4.0,0.0,6.193864918396451,DL,0,0
260,Nathan Davis,1999.0,DAL,25,DE,4.0,0.0,0.0,DL,0,0
261,Martin Harrison,1999.0,MIN,32,DE,4.0,0.0,0.0,DL,0,0
262,Shawn Swayda,1999.0,ATL,25,DE,4.0,0.0,0.8408037797956704,DL,0,0
263,Tyrone Williams,1999.0,PHI,27,DE,4.0,0.0,77.48836464785694,DL,0,0
264,Shane Bonham,1999.0,IND,29,DT,3.0,0.0,0.0,DL,0,0
265,Martin Chase,1999.0,BAL,25,DT,3.0,0.0,0.0,DL,0,0
266,Roderick Coleman,1999.0,OAK,23,DT,3.0,0.0,0.0,DL,0,0
267,Kelly Gregg,1999.0,PHI,23,DT,3.0,0.0,9.230073211728044,DL,0,0
268,Tyrone Rogers,1999.0,CLE,25,DE,3.0,0.0,2.2421434127884545,DL,0,0
269,Ben Williams,1999.0,PHI,29,DT,3.0,0.0,35.82134130209189,DL,0,0
270,James Cannida,1999.0,TAM,24,DT,2.0,1.0,0.0,DL,0,0
271,James Roberson,1999.0,JAX,28,DE,2.0,0.0,74.34595912435019,DL,0,0
272,Angel Rubio,1999.0,ARI,24,DE,2.0,0.0,30.26893607264413,DL,0,0
273,Mark Smith,1999.0,ARI,25,DT,2.0,0.0,13.452860476730729,DL,0,0
274,Gary Stills,1999.0,KAN,25,DE,2.0,0.0,0.0,DL,0,0
275,Viliami Maumau,1999.0,CAR,24,DT,1.0,0.0,0.0,DL,0,0
276,David Richie,1999.0,SFO,26,NT,1.0,0.0,0.0,DL,0,0
277,Sam Adams,2000.0,BAL,27,LDT,16.0,16.0,66.60370243736709,DL,0,0
278,Chidi Ahanotu,2000.0,TAM,30,LDE,16.0,16.0,110.61755570189689,DL,0,0
279,Tony Brackens,2000.0,JAX,26,RDE,16.0,16.0,153.75914784714243,DL,0,0
280,Chad Bratzke,2000.0,IND,29,RDE,16.0,16.0,112.5181278971503,DL,0,0
281,Courtney Brown,2000.0,CLE,22,LDE,16.0,16.0,122.47865869790814,DL,0,0
282,John Browning,2000.0,KAN,27,RDT/LDE,16.0,16.0,82.90486549920985,DL,0,0
283,Tony Bryant,2000.0,OAK,24,LDE,16.0,16.0,100.25957307100023,DL,0,0
284,Brentson Buckner,2000.0,SFO,29,RDT,16.0,16.0,98.46593148663018,DL,0,0
285,Rob Burnett,2000.0,BAL,33,LDE,16.0,16.0,146.19988140181985,DL,0,0
286,Shane Burton,2000.0,NYJ,26,RDE,16.0,16.0,79.56617677700866,DL,0,0
287,Marco Coleman,2000.0,WAS,31,LDE,16.0,16.0,124.64484883026651,DL,0,0
288,Stalin Colinet,2000.0,CLE,26,RDT,16.0,16.0,88.62255084137888,DL,0,0
289,John Copeland,2000.0,CIN,30,RDT/RDE,16.0,16.0,45.67047828242654,DL,0,0
